city_x,city_y
Brest Bretagne,Maastricht Aachen
Brest Bretagne,Rotterdam The Hague
Brest Bretagne,Alicante
Brest Bretagne,Almeria
Brest Bretagne,Asturias
Brest Bretagne,Barcelona
Brest Bretagne,Bilbao
Brest Bretagne,Fuerteventura
Brest Bretagne,Girona
Brest Bretagne,Gran Canaria
Brest Bretagne,Granada-Jaén
Brest Bretagne,Ibiza
Brest Bretagne,Jerez
Brest Bretagne,La Palma
Brest Bretagne,Lanzarote
Brest Bretagne,Madrid Barajas
Brest Bretagne,Malaga
Brest Bretagne,Menorca
Brest Bretagne,Palma de Mallorca
Brest Bretagne,Región de Murcia
Brest Bretagne,Reus
Brest Bretagne,Santander
Brest Bretagne,Santiago de Compostela
Brest Bretagne,Seville
Brest Bretagne,Tenerife North
Brest Bretagne,Tenerife South
Brest Bretagne,Valencia
Brest Bretagne,Zaragoza
Brest Bretagne,Aberdeen
Brest Bretagne,Belfast City
Brest Bretagne,Belfast International
Brest Bretagne,Birmingham
Brest Bretagne,Bristol
Brest Bretagne,Cardiff
Brest Bretagne,Doncaster Sheffield
Brest Bretagne,East Midlands
Brest Bretagne,Edinburgh
Brest Bretagne,Exeter
Brest Bretagne,Glasgow
Brest Bretagne,Glasgow Prestwick
Brest Bretagne,Humberside
Brest Bretagne,Jersey
Brest Bretagne,Leeds Bradford
Brest Bretagne,Liverpool
Brest Bretagne,London City
Brest Bretagne,London Gatwick
Brest Bretagne,London Heathrow
Brest Bretagne,London Luton
Brest Bretagne,London Southend
Brest Bretagne,London Stansted
Brest Bretagne,Manchester
Brest Bretagne,Newcastle
Brest Bretagne,Southampton
Figari South Corsica,Ajaccio
Figari South Corsica,Bastia
Figari South Corsica,Bergerac
Figari South Corsica,Biarritz
Figari South Corsica,Bordeaux
Figari South Corsica,Brest Bretagne
Figari South Corsica,Lille
Figari South Corsica,Lyon-Saint Exupéry
Figari South Corsica,Marseille
Figari South Corsica,Montpellier
Figari South Corsica,Nantes
Figari South Corsica,Nice
Figari South Corsica,Paris Beauvais
Figari South Corsica,Paris Charles de Gaulle
Figari South Corsica,Paris Orly
Figari South Corsica,Strasbourg
Figari South Corsica,Rennes Bretagne
Figari South Corsica,Réunion Roland Garros
Figari South Corsica,Toulon-Hyères
Figari South Corsica,Toulouse Blagnac
Figari South Corsica,Allgäu Memmingen
Figari South Corsica,Berlin Brandenburg
Figari South Corsica,Berlin Schönefeld
Figari South Corsica,Berlin Tegel
Figari South Corsica,Bremen
Figari South Corsica,Cologne Bonn
Figari South Corsica,Dortmund
Figari South Corsica,Dresden
Figari South Corsica,Düsseldorf
Figari South Corsica,Frankfurt
Figari South Corsica,Frankfurt-Hahn
Figari South Corsica,Friedrichshafen
Figari South Corsica,Hamburg
Figari South Corsica,Hanover
Figari South Corsica,Karlsruhe Baden-Baden
Figari South Corsica,Leipzig Halle
Figari South Corsica,Munich
Figari South Corsica,Münster Osnabrück
Figari South Corsica,Nuremberg
Figari South Corsica,Paderborn Lippstadt
Figari South Corsica,Stuttgart
Figari South Corsica,Weeze
Figari South Corsica,Alghero
Figari South Corsica,Ancona
Figari South Corsica,Bari
Figari South Corsica,Bergamo
Figari South Corsica,Bologna
Figari South Corsica,Brindisi
Figari South Corsica,Cagliari
Figari South Corsica,Catania Fontanarossa
Figari South Corsica,Comiso
Figari South Corsica,Florence
Figari South Corsica,Genoa
Figari South Corsica,Lamezia Terme
Figari South Corsica,Milan Linate
Figari South Corsica,Milan Malpensa
Figari South Corsica,Naples
Figari South Corsica,Olbia Costa Smeralda
Figari South Corsica,Palermo
Figari South Corsica,Perugia
Figari South Corsica,Pescara
Figari South Corsica,Pisa
Figari South Corsica,Rome Ciampino
Figari South Corsica,Rome Fiumicino
Figari South Corsica,Trapani
Figari South Corsica,Treviso
Figari South Corsica,Turin
Figari South Corsica,Venice
Figari South Corsica,Verona
Figari South Corsica,Amsterdam Schiphol
Figari South Corsica,Eindhoven
Figari South Corsica,Groningen Eelde
Figari South Corsica,Maastricht Aachen
Figari South Corsica,Rotterdam The Hague
Figari South Corsica,Alicante
Figari South Corsica,Almeria
Figari South Corsica,Asturias
Figari South Corsica,Barcelona
Figari South Corsica,Bilbao
